transaction_id,transaction_date,clean_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,day_name,month_name,day_number,time_bucket,day_type,Month_period,Bucket_spend,clean_unit_price,revenue
24,2023-01-01,08:29:38,1,8,Hell's Kitchen,56,"2,55",Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2.55,2.55
25,2023-01-01,08:31:23,1,8,Hell's Kitchen,40,"3,75",Coffee,Barista Espresso,Cappuccino,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.75,3.75
26,2023-01-01,08:33:08,1,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,3
27,2023-01-01,08:33:08,1,5,Lower Manhattan,76,"3,5",Bakery,Biscotti,Chocolate Chip Biscotti,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.5,3.5
28,2023-01-01,08:35:03,2,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,6
29,2023-01-01,08:35:03,1,5,Lower Manhattan,71,"3,75",Bakery,Pastry,Chocolate Croissant,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.75,3.75
30,2023-01-01,08:41:57,2,8,Hell's Kitchen,40,"3,75",Coffee,Barista Espresso,Cappuccino,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.75,7.5
31,2023-01-01,08:52:03,1,8,Hell's Kitchen,38,"3,75",Coffee,Barista Espresso,Latte,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.75,3.75
32,2023-01-01,08:52:32,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,3
33,2023-01-01,08:54:33,2,5,Lower Manhattan,27,"3,5",Coffee,Organic brewed coffee,Brazilian Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.5,7
34,2023-01-01,08:56:27,2,5,Lower Manhattan,29,"2,5",Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2.5,5
35,2023-01-01,08:57:46,1,8,Hell's Kitchen,54,"2,5",Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2.5,2.5
36,2023-01-01,08:58:55,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,3
37,2023-01-01,09:00:12,1,5,Lower Manhattan,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,4,4
38,2023-01-01,09:00:24,2,8,Hell's Kitchen,40,"3,75",Coffee,Barista Espresso,Cappuccino,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.75,7.5
39,2023-01-01,09:07:13,1,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,3
40,2023-01-01,09:08:09,2,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,6
41,2023-01-01,09:08:13,1,8,Hell's Kitchen,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,3
42,2023-01-01,09:10:30,2,5,Lower Manhattan,60,"3,75",Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.75,7.5
43,2023-01-01,09:10:30,1,5,Lower Manhattan,78,"4,5",Bakery,Scone,Scottish Cream Scone ,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,4.5,4.5
44,2023-01-01,09:11:06,1,5,Lower Manhattan,56,"2,55",Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2.55,2.55
45,2023-01-01,09:11:06,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,3
46,2023-01-01,09:13:01,1,5,Lower Manhattan,44,"2,5",Tea,Brewed herbal tea,Peppermint Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2.5,2.5
47,2023-01-01,09:13:15,2,5,Lower Manhattan,56,"2,55",Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2.55,5.1
48,2023-01-01,09:14:16,1,5,Lower Manhattan,48,"2,5",Tea,Brewed Black tea,English Breakfast Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2.5,2.5
49,2023-01-01,09:14:17,1,8,Hell's Kitchen,23,"2,5",Coffee,Drip coffee,Our Old Time Diner Blend Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2.5,2.5
50,2023-01-01,09:14:25,1,8,Hell's Kitchen,46,"2,5",Tea,Brewed Green tea,Serenity Green Tea Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2.5,2.5
51,2023-01-01,09:14:41,1,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,3
52,2023-01-01,09:15:09,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,6
53,2023-01-01,09:15:13,2,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,6
54,2023-01-01,09:19:21,2,5,Lower Manhattan,25,"2,2",Coffee,Organic brewed coffee,Brazilian Sm,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2.2,4.4
55,2023-01-01,09:19:26,1,8,Hell's Kitchen,59,"4,5",Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,4.5,4.5
56,2023-01-01,09:21:08,1,5,Lower Manhattan,38,"3,75",Coffee,Barista Espresso,Latte,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.75,3.75
57,2023-01-01,09:22:17,1,8,Hell's Kitchen,45,3,Tea,Brewed herbal tea,Peppermint Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,3
58,2023-01-01,09:22:46,1,5,Lower Manhattan,34,"2,45",Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2.45,2.45
59,2023-01-01,09:29:56,2,8,Hell's Kitchen,36,"3,75",Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.75,7.5
60,2023-01-01,09:29:56,1,8,Hell's Kitchen,74,"3,5",Bakery,Biscotti,Ginger Biscotti,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.5,3.5
61,2023-01-01,09:29:57,1,8,Hell's Kitchen,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,3
62,2023-01-01,09:34:17,2,8,Hell's Kitchen,41,"4,25",Coffee,Barista Espresso,Cappuccino Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,4.25,8.5
63,2023-01-01,09:40:13,1,5,Lower Manhattan,41,"4,25",Coffee,Barista Espresso,Cappuccino Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,4.25,4.25
64,2023-01-01,09:41:22,2,5,Lower Manhattan,45,3,Tea,Brewed herbal tea,Peppermint Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,6
65,2023-01-01,09:41:22,1,5,Lower Manhattan,79,"3,75",Bakery,Scone,Jumbo Savory Scone,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.75,3.75
66,2023-01-01,09:44:20,2,5,Lower Manhattan,54,"2,5",Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2.5,5
67,2023-01-01,09:44:46,1,5,Lower Manhattan,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,3
68,2023-01-01,09:46:46,2,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,6
69,2023-01-01,09:47:40,2,8,Hell's Kitchen,40,"3,75",Coffee,Barista Espresso,Cappuccino,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.75,7.5
70,2023-01-01,09:50:44,2,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,6
71,2023-01-01,09:50:44,1,5,Lower Manhattan,69,"3,25",Bakery,Biscotti,Hazelnut Biscotti,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.25,3.25
72,2023-01-01,09:52:58,1,5,Lower Manhattan,50,"2,5",Tea,Brewed Black tea,Earl Grey Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2.5,2.5
73,2023-01-01,09:53:28,1,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,3
74,2023-01-01,09:53:44,2,8,Hell's Kitchen,40,"3,75",Coffee,Barista Espresso,Cappuccino,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.75,7.5
75,2023-01-01,09:53:44,1,8,Hell's Kitchen,72,"3,25",Bakery,Scone,Ginger Scone,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.25,3.25
76,2023-01-01,09:53:49,1,8,Hell's Kitchen,35,"3,1",Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.1,3.1
77,2023-01-01,09:54:46,1,5,Lower Manhattan,23,"2,5",Coffee,Drip coffee,Our Old Time Diner Blend Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2.5,2.5
78,2023-01-01,09:55:16,2,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,6
79,2023-01-01,09:56:30,1,8,Hell's Kitchen,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2,2
80,2023-01-01,10:00:39,2,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,6
81,2023-01-01,10:03:55,2,8,Hell's Kitchen,36,"3,75",Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.75,7.5
82,2023-01-01,10:14:49,1,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,3
83,2023-01-01,10:14:49,1,5,Lower Manhattan,71,"3,75",Bakery,Pastry,Chocolate Croissant,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.75,3.75
84,2023-01-01,10:16:30,2,5,Lower Manhattan,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,6
85,2023-01-01,10:16:33,1,8,Hell's Kitchen,54,"2,5",Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2.5,2.5
86,2023-01-01,10:18:14,2,8,Hell's Kitchen,41,"4,25",Coffee,Barista Espresso,Cappuccino Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,4.25,8.5
87,2023-01-01,10:18:52,2,5,Lower Manhattan,25,"2,2",Coffee,Organic brewed coffee,Brazilian Sm,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2.2,4.4
88,2023-01-01,10:19:42,2,5,Lower Manhattan,23,"2,5",Coffee,Drip coffee,Our Old Time Diner Blend Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2.5,5
89,2023-01-01,10:24:19,1,8,Hell's Kitchen,54,"2,5",Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2.5,2.5
90,2023-01-01,10:25:22,2,8,Hell's Kitchen,56,"2,55",Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2.55,5.1
91,2023-01-01,10:25:45,2,5,Lower Manhattan,58,"3,5",Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.5,7
92,2023-01-01,10:25:45,1,5,Lower Manhattan,74,"3,5",Bakery,Biscotti,Ginger Biscotti,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.5,3.5
93,2023-01-01,10:27:48,2,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,6
94,2023-01-01,10:30:07,1,5,Lower Manhattan,35,"3,1",Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.1,3.1
95,2023-01-01,10:30:07,1,5,Lower Manhattan,70,"3,25",Bakery,Scone,Cranberry Scone,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.25,3.25
96,2023-01-01,10:35:47,1,8,Hell's Kitchen,60,"3,75",Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.75,3.75
97,2023-01-01,10:41:53,1,5,Lower Manhattan,59,"4,5",Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,4.5,4.5
98,2023-01-01,10:47:53,2,5,Lower Manhattan,36,"3,75",Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.75,7.5
99,2023-01-01,10:49:13,2,8,Hell's Kitchen,51,3,Tea,Brewed Black tea,Earl Grey Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,6
100,2023-01-01,10:49:51,2,5,Lower Manhattan,61,"4,75",Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,4.75,9.5
101,2023-01-01,10:51:17,1,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3,3
102,2023-01-01,10:52:44,2,8,Hell's Kitchen,23,"2,5",Coffee,Drip coffee,Our Old Time Diner Blend Rg,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,2.5,5
103,2023-01-01,10:52:44,1,8,Hell's Kitchen,73,"3,75",Bakery,Pastry,Almond Croissant,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.75,3.75
104,2023-01-01,10:56:14,1,5,Lower Manhattan,38,"3,75",Coffee,Barista Espresso,Latte,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.75,3.75
105,2023-01-01,10:56:14,1,5,Lower Manhattan,76,"3,5",Bakery,Biscotti,Chocolate Chip Biscotti,Sun,Jan,1,morning,Weekend,Early month,Cheap spend,3.5,3.5
106,2023-01-01,11:01:48,1,3,Astoria,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,2,2
107,2023-01-01,11:01:58,1,3,Astoria,38,"3,75",Coffee,Barista Espresso,Latte,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,3.75,3.75
108,2023-01-01,11:01:58,1,3,Astoria,75,"3,5",Bakery,Pastry,Croissant,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,3.5,3.5
109,2023-01-01,11:03:25,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,3,6
110,2023-01-01,11:03:25,1,5,Lower Manhattan,75,"3,5",Bakery,Pastry,Croissant,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,3.5,3.5
111,2023-01-01,11:04:32,2,8,Hell's Kitchen,39,"4,25",Coffee,Barista Espresso,Latte Rg,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,4.25,8.5
112,2023-01-01,11:08:11,1,3,Astoria,59,"4,5",Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,4.5,4.5
113,2023-01-01,11:08:59,2,8,Hell's Kitchen,51,3,Tea,Brewed Black tea,Earl Grey Lg,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,3,6
114,2023-01-01,11:09:01,1,3,Astoria,59,"4,5",Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,4.5,4.5
115,2023-01-01,11:10:21,1,3,Astoria,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,3,3
116,2023-01-01,11:10:21,1,3,Astoria,79,"3,75",Bakery,Scone,Jumbo Savory Scone,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,3.75,3.75
117,2023-01-01,11:10:58,1,3,Astoria,46,"2,5",Tea,Brewed Green tea,Serenity Green Tea Rg,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,2.5,2.5
118,2023-01-01,11:12:29,1,3,Astoria,43,3,Tea,Brewed herbal tea,Lemon Grass Lg,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,3,3
119,2023-01-01,11:16:02,2,3,Astoria,45,3,Tea,Brewed herbal tea,Peppermint Lg,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,3,6
120,2023-01-01,11:21:00,2,8,Hell's Kitchen,54,"2,5",Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,2.5,5
121,2023-01-01,11:21:04,2,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,3,6
122,2023-01-01,11:21:14,1,3,Astoria,60,"3,75",Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,3.75,3.75
123,2023-01-01,11:23:01,1,8,Hell's Kitchen,31,"2,2",Coffee,Gourmet brewed coffee,Ethiopia Sm,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,2.2,2.2
124,2023-01-01,11:23:43,2,5,Lower Manhattan,60,"3,75",Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,3.75,7.5
125,2023-01-01,11:23:43,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,3,3
126,2023-01-01,11:25:35,2,3,Astoria,49,3,Tea,Brewed Black tea,English Breakfast Lg,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,3,6
127,2023-01-01,11:25:37,2,5,Lower Manhattan,40,"3,75",Coffee,Barista Espresso,Cappuccino,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,3.75,7.5
128,2023-01-01,11:28:15,2,8,Hell's Kitchen,44,"2,5",Tea,Brewed herbal tea,Peppermint Rg,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,2.5,5
129,2023-01-01,11:28:29,2,3,Astoria,33,"3,5",Coffee,Gourmet brewed coffee,Ethiopia Lg,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,3.5,7
130,2023-01-01,11:29:25,2,5,Lower Manhattan,56,"2,55",Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,2.55,5.1
131,2023-01-01,11:29:57,2,8,Hell's Kitchen,35,"3,1",Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,3.1,6.2
132,2023-01-01,11:29:57,1,8,Hell's Kitchen,78,"4,5",Bakery,Scone,Scottish Cream Scone ,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,4.5,4.5
133,2023-01-01,11:30:22,1,8,Hell's Kitchen,23,"2,5",Coffee,Drip coffee,Our Old Time Diner Blend Rg,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,2.5,2.5
134,2023-01-01,11:31:35,1,8,Hell's Kitchen,24,3,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,3,3
135,2023-01-01,11:31:43,2,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,3,6
136,2023-01-01,11:31:43,1,5,Lower Manhattan,72,"3,25",Bakery,Scone,Ginger Scone,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,3.25,3.25
137,2023-01-01,11:31:53,2,5,Lower Manhattan,54,"2,5",Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,2.5,5
138,2023-01-01,11:31:53,1,5,Lower Manhattan,75,"3,5",Bakery,Pastry,Croissant,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,3.5,3.5
139,2023-01-01,11:39:14,1,5,Lower Manhattan,60,"3,75",Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,3.75,3.75
140,2023-01-01,11:39:14,1,5,Lower Manhattan,71,"3,75",Bakery,Pastry,Chocolate Croissant,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,3.75,3.75
141,2023-01-01,11:40:26,2,3,Astoria,52,"2,5",Tea,Brewed Chai tea,Traditional Blend Chai Rg,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,2.5,5
142,2023-01-01,11:43:57,2,3,Astoria,25,"2,2",Coffee,Organic brewed coffee,Brazilian Sm,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,2.2,4.4
143,2023-01-01,11:44:09,1,5,Lower Manhattan,38,"3,75",Coffee,Barista Espresso,Latte,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,3.75,3.75
144,2023-01-01,11:47:13,1,3,Astoria,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Sun,Jan,1,Afternoon,Weekend,Early month,Cheap spend,3,3
